Pitch #,Inning,Half,Pitching Team,Pitcher #,Pitcher,Batting Team,Batter,Pitch Code,Pitch Type,Count Before,Count After,Recorded At
131,5,top,home,39,Trey Yesavage,away,Mark Vientos,B,Ball,"=""0-0""","=""1-0""",2026-06-30T00:09:13.851Z
132,5,top,home,39,Trey Yesavage,away,Mark Vientos,B,Ball,"=""1-0""","=""2-0""",2026-06-30T00:09:25.399Z
133,5,top,home,39,Trey Yesavage,away,Mark Vientos,B,Ball,"=""2-0""","=""3-0""",2026-06-30T00:09:39.344Z
134,5,top,home,39,Trey Yesavage,away,Mark Vientos,C,Called Strike,"=""3-0""","=""3-1""",2026-06-30T00:09:55.651Z
135,5,top,home,39,Trey Yesavage,away,Mark Vientos,SW,Swinging Strike,"=""3-1""","=""3-2""",2026-06-30T00:10:08.786Z
136,5,top,home,39,Trey Yesavage,away,Mark Vientos,SW,Swinging Strike,"=""3-2""","=""3-3""",2026-06-30T00:10:34.248Z
137,5,top,home,39,Trey Yesavage,away,Brett Baty,IP,In Play,"=""0-0""","=""0-0""",2026-06-30T00:11:01.687Z
138,5,top,home,39,Trey Yesavage,away,Francisco Alvarez,B,Ball,"=""0-0""","=""1-0""",2026-06-30T00:11:38.160Z
139,5,top,home,39,Trey Yesavage,away,Francisco Alvarez,B,Ball,"=""1-0""","=""2-0""",2026-06-30T00:11:52.230Z
140,5,top,home,39,Trey Yesavage,away,Francisco Alvarez,SW,Swinging Strike,"=""2-0""","=""2-1""",2026-06-30T00:12:14.128Z
141,5,top,home,39,Trey Yesavage,away,Francisco Alvarez,B,Ball,"=""2-1""","=""3-1""",2026-06-30T00:12:32.098Z
142,5,top,home,39,Trey Yesavage,away,Francisco Alvarez,IP,In Play,"=""3-1""","=""3-1""",2026-06-30T00:12:46.097Z
143,5,bottom,away,59,Sean Manaea,home,Luis Urías,B,Ball,"=""0-0""","=""1-0""",2026-06-30T00:15:35.072Z
144,5,bottom,away,59,Sean Manaea,home,Luis Urías,IP,In Play,"=""1-0""","=""1-0""",2026-06-30T00:15:36.936Z
145,5,bottom,away,59,Sean Manaea,home,Yohendrick Piñango,IP,In Play,"=""0-0""","=""0-0""",2026-06-30T00:16:26.734Z
146,5,bottom,away,59,Sean Manaea,home,Myles Straw,F,Foul,"=""0-0""","=""0-1""",2026-06-30T00:17:57.156Z
147,5,bottom,away,59,Sean Manaea,home,Myles Straw,F,Foul,"=""0-1""","=""0-2""",2026-06-30T00:18:02.165Z
148,5,bottom,away,59,Sean Manaea,home,Myles Straw,F,Foul,"=""0-2""","=""0-2""",2026-06-30T00:18:27.347Z
149,5,bottom,away,59,Sean Manaea,home,Myles Straw,SW,Swinging Strike,"=""0-2""","=""0-3""",2026-06-30T00:18:46.714Z
150,5,bottom,away,59,Sean Manaea,home,George Springer,C,Called Strike,"=""0-0""","=""0-1""",2026-06-30T00:18:47.346Z
151,5,bottom,away,59,Sean Manaea,home,George Springer,IP,In Play,"=""0-1""","=""0-1""",2026-06-30T00:18:47.997Z
158,6,top,home,39,Trey Yesavage,away,Carson Benge,C,Called Strike,"=""0-0""","=""0-1""",2026-06-30T00:24:08.338Z
159,6,top,home,39,Trey Yesavage,away,Carson Benge,SW,Swinging Strike,"=""0-1""","=""0-2""",2026-06-30T00:24:08.787Z
